concert_end_hour,day_type,concert_size,weather,time_since_end_minutes,distance_to_pickup_meters,surge_multiplier
23,weekday,large,cloudy,57,380,2.17
21,weekday,medium,cloudy,54,120,1.75
22,weekday,small,clear,42,650,1.11
22,weekday,large,clear,47,380,1.96
24,weekday,large,cloudy,83,650,1.33
22,weekday,large,cloudy,38,450,2.26
24,weekday,large,rain,83,450,1.71
22,weekend,medium,cloudy,79,450,1.43
21,weekday,large,cloudy,86,450,1.12
20,weekday,large,cloudy,8,900,1.92
20,weekday,medium,cloudy,35,450,1.72
22,weekend,large,cloudy,38,650,2.35
22,weekday,large,cloudy,20,650,2.22
22,weekday,medium,cloudy,74,650,1.13
22,weekday,large,cloudy,20,380,2.44
22,weekday,large,cloudy,28,380,2.63
22,weekday,medium,clear,82,380,1.12
23,weekend,medium,cloudy,59,380,2.24
21,weekend,medium,cloudy,22,380,2.75
22,weekday,medium,cloudy,15,650,1.96
21,weekend,small,cloudy,82,900,1.16
22,weekday,medium,cloudy,30,380,1.95
22,weekday,large,cloudy,2,380,3.35
24,weekday,large,cloudy,48,450,2.11
24,weekday,medium,cloudy,21,650,2.06
22,weekend,small,cloudy,41,650,1.58
23,weekend,medium,cloudy,32,120,3.07
21,weekend,medium,cloudy,34,650,2.08
23,weekday,large,cloudy,74,450,1.45
19,weekday,medium,cloudy,52,650,1.12
22,weekday,medium,cloudy,10,650,1.77
22,weekday,small,cloudy,50,900,1.09
21,weekday,medium,cloudy,17,120,2.45
22,weekday,medium,clear,5,380,2.34
19,weekday,medium,cloudy,26,120,1.83
19,weekday,large,cloudy,18,450,2.25
19,weekday,medium,cloudy,45,120,1.65
22,weekday,small,cloudy,81,380,1.16
23,weekday,large,cloudy,20,900,2.07
20,weekday,small,cloudy,47,120,1.5
24,weekday,large,clear,84,380,1.26
21,weekday,large,rain,71,900,1.19
22,weekday,small,cloudy,72,450,1.07
23,weekday,small,cloudy,40,380,1.43
23,weekday,small,rain,72,380,1.41
24,weekday,medium,cloudy,47,650,1.6
22,weekend,medium,cloudy,70,380,1.93
22,weekend,small,cloudy,74,650,1.36
20,weekday,small,cloudy,64,120,1.11
23,weekday,medium,clear,21,380,2.03
22,weekday,medium,cloudy,70,900,1.11
20,weekday,small,cloudy,73,380,1.01
23,weekday,medium,cloudy,30,900,1.57
22,weekday,large,cloudy,22,450,2.88
21,weekday,large,cloudy,78,380,1.32
24,weekday,large,cloudy,79,900,1.15
22,weekday,large,cloudy,57,380,1.83
23,weekday,large,cloudy,4,450,3.04
21,weekday,large,cloudy,34,380,2.23
21,weekend,small,cloudy,61,650,1.25
22,weekend,medium,cloudy,1,900,2.48
21,weekday,medium,cloudy,45,900,1.18
21,weekday,medium,cloudy,27,450,1.84
21,weekend,small,cloudy,8,900,1.52
23,weekday,small,rain,89,380,1.5
22,weekday,small,clear,6,650,1.23
22,weekday,large,cloudy,2,900,2.24
23,weekend,small,cloudy,67,900,1.29
24,weekday,medium,cloudy,45,900,1.55
20,weekend,medium,cloudy,40,900,1.47
21,weekday,large,cloudy,56,450,1.73
22,weekday,medium,cloudy,51,450,1.54
23,weekday,small,cloudy,0,120,2.05
22,weekday,large,cloudy,16,450,2.64
22,weekday,medium,cloudy,80,650,1.01
22,weekend,small,cloudy,25,380,1.95
20,weekend,medium,cloudy,30,380,2.32
22,weekday,medium,cloudy,5,120,2.73
22,weekend,medium,cloudy,73,650,1.31
22,weekday,medium,cloudy,21,120,2.49
21,weekend,small,cloudy,55,380,1.72
23,weekday,large,cloudy,42,380,2.19
22,weekend,large,cloudy,39,650,2.51
23,weekday,medium,cloudy,5,120,2.93
23,weekend,small,cloudy,58,450,1.87
21,weekend,medium,cloudy,90,120,1.61
22,weekday,large,cloudy,80,120,1.6
21,weekday,large,cloudy,50,120,2.19
22,weekday,large,cloudy,48,450,2.03
22,weekend,medium,cloudy,44,900,1.73
21,weekend,small,cloudy,41,450,1.65
19,weekday,medium,cloudy,80,380,1.08
22,weekday,medium,cloudy,54,450,1.55
21,weekday,large,cloudy,77,380,1.27
21,weekday,small,cloudy,24,450,1.39
20,weekday,medium,cloudy,60,380,1.26
22,weekday,medium,clear,62,650,1.16
19,weekday,large,cloudy,11,650,1.86
24,weekday,medium,clear,67,650,1.38
23,weekday,medium,cloudy,9,650,2.1
21,weekend,medium,cloudy,34,380,2.32
24,weekend,small,cloudy,2,450,2.41
21,weekday,medium,cloudy,7,450,2.01
19,weekend,medium,cloudy,72,120,1.64
22,weekday,small,cloudy,58,380,1.38
21,weekday,medium,cloudy,39,380,1.63
22,weekend,medium,cloudy,23,450,2.72
19,weekday,small,cloudy,12,450,1.18
21,weekday,medium,cloudy,64,120,1.61
23,weekday,medium,cloudy,14,120,2.78
20,weekday,small,cloudy,24,450,1.34
22,weekend,large,cloudy,42,380,2.85
22,weekday,small,cloudy,83,380,1.09
21,weekday,medium,cloudy,86,380,1.17
21,weekend,small,cloudy,43,120,2.09
20,weekday,large,cloudy,19,650,1.87
21,weekend,large,cloudy,84,380,1.55
24,weekday,medium,cloudy,71,380,1.65
22,weekday,large,cloudy,17,380,2.74
20,weekday,medium,cloudy,74,380,1.19
22,weekday,large,cloudy,1,900,2.24
21,weekday,medium,cloudy,77,120,1.36
20,weekday,small,cloudy,55,380,1.15
22,weekday,medium,cloudy,17,120,2.46
22,weekday,medium,cloudy,53,120,2.02
19,weekday,small,cloudy,2,380,1.33
21,weekday,medium,clear,52,450,1.29
21,weekend,large,cloudy,81,450,1.5
23,weekend,medium,cloudy,19,380,2.98
24,weekday,small,cloudy,53,380,1.7
23,weekday,large,cloudy,82,650,1.21
21,weekday,large,cloudy,42,380,1.9
22,weekday,medium,cloudy,62,900,1.0
22,weekend,medium,cloudy,50,380,2.16
23,weekday,medium,cloudy,38,380,1.98
19,weekday,large,cloudy,85,120,1.18
23,weekday,medium,cloudy,74,450,1.31
21,weekday,small,cloudy,22,380,1.38
22,weekend,small,cloudy,71,380,1.75
23,weekday,large,clear,75,900,1.09
19,weekday,medium,cloudy,34,900,1.21
22,weekend,large,cloudy,83,450,1.64
23,weekend,small,cloudy,29,380,2.35
21,weekday,small,cloudy,41,650,1.13
22,weekday,large,cloudy,25,380,2.5
23,weekday,large,cloudy,63,650,1.46
20,weekday,large,cloudy,22,380,2.39
20,weekend,large,cloudy,79,900,1.16
24,weekday,large,cloudy,9,650,2.78
23,weekday,small,cloudy,35,450,1.52
21,weekday,medium,cloudy,7,120,2.35
21,weekday,medium,cloudy,7,380,2.29
23,weekday,small,cloudy,90,450,1.16
22,weekday,small,cloudy,77,380,1.25
22,weekday,large,cloudy,16,120,3.3
21,weekend,medium,cloudy,16,120,2.85
22,weekday,medium,cloudy,3,380,2.5
23,weekday,medium,cloudy,65,900,1.28
23,weekday,medium,cloudy,84,380,1.38
23,weekday,medium,clear,28,450,1.88
24,weekday,medium,cloudy,4,650,2.26
24,weekday,medium,cloudy,82,450,1.24
22,weekend,large,cloudy,57,450,2.32
23,weekday,large,cloudy,14,650,2.48
22,weekend,large,cloudy,69,380,2.07
24,weekday,medium,cloudy,5,380,2.74
23,weekday,medium,cloudy,20,650,1.88
22,weekday,small,rain,7,120,2.17
24,weekday,large,cloudy,33,380,2.9
22,weekday,medium,cloudy,21,120,2.17
23,weekday,large,cloudy,14,650,2.38
23,weekday,large,cloudy,87,120,1.49
24,weekday,medium,cloudy,52,380,1.98
22,weekday,small,clear,62,650,1.0
22,weekday,large,clear,25,380,2.3
22,weekday,large,cloudy,60,450,1.5
22,weekday,medium,cloudy,40,650,1.45
21,weekday,medium,cloudy,40,650,1.39
22,weekday,medium,rain,14,450,2.61
21,weekday,large,clear,12,380,2.34
20,weekend,medium,cloudy,38,120,2.59
23,weekday,large,cloudy,70,380,1.73
23,weekend,medium,cloudy,87,380,1.71
23,weekend,small,cloudy,63,120,2.13
22,weekday,medium,cloudy,51,650,1.38
23,weekday,medium,clear,24,380,1.96
23,weekday,small,cloudy,57,380,1.44
21,weekday,large,cloudy,8,900,2.0
21,weekday,medium,cloudy,24,120,2.41
22,weekend,medium,cloudy,39,380,2.42
24,weekday,small,clear,36,900,1.12
24,weekday,medium,cloudy,55,900,1.31
20,weekday,small,cloudy,21,120,1.59
21,weekday,large,cloudy,53,120,2.21
21,weekend,medium,cloudy,55,900,1.59
23,weekday,medium,cloudy,81,900,1.09
22,weekend,medium,cloudy,83,380,1.63
22,weekday,large,cloudy,33,450,2.26
22,weekday,medium,cloudy,4,650,1.85
23,weekend,large,cloudy,59,380,2.52
22,weekday,small,cloudy,44,380,1.42
21,weekday,medium,cloudy,40,900,1.31
23,weekday,large,cloudy,61,900,1.33
23,weekday,large,cloudy,9,450,3.16
21,weekend,medium,cloudy,38,450,2.18
23,weekend,medium,cloudy,17,650,2.63
24,weekday,medium,clear,37,650,1.68
19,weekend,large,cloudy,73,120,1.75
23,weekend,large,cloudy,27,650,3.04
20,weekend,medium,cloudy,5,450,2.49
21,weekend,medium,cloudy,38,650,1.86
24,weekday,small,cloudy,85,900,1.01
20,weekday,large,clear,46,380,1.54
23,weekday,medium,cloudy,35,120,2.49
22,weekday,large,cloudy,58,380,1.84
21,weekday,small,cloudy,89,380,1.1
21,weekday,large,cloudy,9,450,2.58
21,weekday,medium,cloudy,0,380,2.08
24,weekend,small,cloudy,55,900,1.47
21,weekend,large,cloudy,36,380,3.06
22,weekend,medium,cloudy,14,900,2.23
23,weekend,large,cloudy,58,650,2.18
20,weekday,large,cloudy,6,450,2.5
22,weekend,medium,cloudy,16,120,3.12
23,weekday,small,cloudy,77,380,1.22
20,weekday,large,clear,64,900,1.0
20,weekend,medium,cloudy,35,450,2.01
21,weekend,medium,cloudy,56,380,1.97
22,weekday,medium,cloudy,49,450,1.76
21,weekday,medium,cloudy,8,380,2.36
22,weekend,medium,cloudy,70,380,1.78
23,weekend,medium,cloudy,52,650,1.91
22,weekday,medium,cloudy,70,120,1.62
22,weekday,large,cloudy,86,380,1.23
19,weekday,medium,cloudy,27,450,1.58
22,weekday,medium,cloudy,21,380,2.23
20,weekend,medium,cloudy,59,380,1.81
19,weekday,large,cloudy,6,450,2.05
23,weekend,small,cloudy,26,380,2.23
21,weekday,medium,cloudy,8,380,2.33
22,weekday,medium,cloudy,29,450,1.71
22,weekday,medium,cloudy,70,120,1.64
20,weekend,medium,cloudy,31,380,2.39
23,weekday,small,cloudy,18,380,1.45
24,weekday,medium,cloudy,28,380,2.46
20,weekend,medium,cloudy,87,380,1.19
20,weekend,large,cloudy,76,120,1.64
21,weekend,large,cloudy,45,650,2.18
21,weekday,large,cloudy,36,650,1.99
21,weekday,large,cloudy,29,650,1.82
23,weekday,medium,cloudy,17,900,1.8
23,weekday,large,cloudy,41,900,1.75
22,weekday,medium,cloudy,66,120,1.68
23,weekday,large,cloudy,53,450,2.1
21,weekend,small,cloudy,90,120,1.56
23,weekend,medium,cloudy,73,380,1.85
23,weekend,small,cloudy,66,450,1.68
24,weekday,small,cloudy,7,380,1.97
22,weekday,small,clear,22,120,1.62
22,weekend,large,cloudy,49,450,2.69
20,weekday,medium,cloudy,88,380,1.05
24,weekday,medium,clear,50,650,1.61
22,weekend,large,cloudy,76,650,1.5
22,weekday,medium,cloudy,65,380,1.65
20,weekday,small,cloudy,65,120,1.44
22,weekend,large,cloudy,71,120,2.09
22,weekday,large,cloudy,76,120,1.79
21,weekday,small,cloudy,43,120,1.51
20,weekday,medium,clear,50,380,1.22
22,weekday,medium,rain,78,120,1.74
23,weekday,small,clear,6,650,1.44
21,weekday,small,cloudy,27,120,1.48
19,weekday,medium,cloudy,76,380,1.04
22,weekend,medium,cloudy,59,380,2.08
23,weekday,medium,cloudy,32,380,2.09
21,weekday,small,cloudy,74,650,1.01
23,weekday,large,cloudy,71,380,1.56
23,weekday,large,cloudy,3,450,3.13
21,weekday,medium,cloudy,56,120,1.7
21,weekday,medium,cloudy,21,120,2.3
22,weekend,medium,cloudy,58,380,2.12
23,weekday,small,cloudy,7,650,1.37
19,weekday,large,cloudy,9,450,2.35
22,weekday,medium,clear,13,450,1.88
23,weekday,small,cloudy,11,120,2.01
21,weekday,medium,cloudy,43,450,1.62
20,weekday,medium,rain,9,900,1.69
23,weekday,medium,cloudy,85,380,1.31
20,weekday,large,cloudy,47,120,2.15
22,weekday,medium,cloudy,73,650,1.2
21,weekday,medium,cloudy,1,900,1.49
22,weekday,large,cloudy,40,900,1.61
20,weekday,large,cloudy,71,650,1.15
22,weekend,small,cloudy,29,380,1.72
21,weekend,medium,cloudy,89,380,1.36
21,weekend,medium,cloudy,44,380,2.11
22,weekday,medium,cloudy,49,120,1.93
22,weekday,large,cloudy,86,120,1.57
23,weekday,medium,cloudy,51,380,1.89
19,weekday,small,cloudy,28,120,1.29
22,weekday,large,cloudy,0,450,2.91
23,weekday,large,cloudy,22,380,3.07
22,weekday,medium,cloudy,80,650,1.05
23,weekend,large,cloudy,70,380,2.1
23,weekday,medium,clear,62,650,1.32
21,weekday,large,cloudy,30,900,1.79
21,weekday,medium,cloudy,36,450,1.74
22,weekday,small,cloudy,30,380,1.53
19,weekday,medium,cloudy,56,380,1.33
19,weekend,medium,cloudy,13,650,1.99
23,weekday,large,cloudy,86,450,1.28
24,weekday,large,cloudy,18,380,3.4
22,weekend,small,cloudy,76,650,1.42
22,weekend,medium,cloudy,24,650,2.17
21,weekend,medium,cloudy,73,450,1.54
21,weekday,large,cloudy,18,120,2.98
23,weekday,medium,cloudy,43,380,2.01
20,weekend,small,cloudy,58,120,1.62
22,weekday,small,cloudy,5,380,1.75
20,weekend,medium,cloudy,10,900,1.83
21,weekday,large,clear,85,650,1.0
22,weekday,large,cloudy,80,380,1.3
24,weekday,large,cloudy,83,450,1.34
23,weekday,large,cloudy,74,650,1.23
20,weekday,medium,cloudy,80,450,1.06
24,weekend,large,cloudy,12,450,3.5
24,weekday,large,cloudy,7,900,2.56
20,weekday,large,cloudy,10,450,2.34
22,weekday,large,cloudy,33,120,2.63
20,weekday,medium,cloudy,12,650,1.65
20,weekday,medium,clear,75,380,1.06
22,weekday,medium,cloudy,72,120,1.74
20,weekend,small,cloudy,22,450,1.65
22,weekday,small,cloudy,1,650,1.46
22,weekday,small,cloudy,60,450,1.2
22,weekday,medium,cloudy,41,380,1.74
22,weekday,large,cloudy,58,900,1.41
22,weekday,medium,cloudy,40,650,1.41
22,weekday,large,cloudy,49,900,1.43
23,weekday,medium,cloudy,35,450,2.0
23,weekday,medium,cloudy,83,380,1.35
21,weekday,small,cloudy,35,380,1.23
20,weekday,small,cloudy,59,380,1.04
22,weekend,large,cloudy,69,380,2.1
22,weekday,medium,cloudy,17,380,2.27
23,weekday,medium,cloudy,10,380,2.41
20,weekday,medium,clear,81,120,1.12
21,weekday,large,cloudy,57,380,1.71
21,weekday,medium,cloudy,10,650,1.9
24,weekday,medium,cloudy,18,380,2.63
23,weekday,large,clear,21,650,2.24
24,weekend,small,cloudy,9,900,1.95
24,weekday,medium,cloudy,33,380,2.14
22,weekend,medium,cloudy,21,380,2.73
22,weekday,large,cloudy,74,650,1.24
22,weekday,large,cloudy,44,380,2.1
23,weekday,large,cloudy,61,380,1.99
22,weekday,large,cloudy,75,450,1.43
23,weekday,large,cloudy,8,380,3.06
22,weekend,large,cloudy,29,380,3.49
19,weekday,small,cloudy,32,650,1.01
20,weekday,medium,cloudy,46,120,1.66
22,weekday,large,clear,28,380,2.19
23,weekend,small,cloudy,15,380,2.28
23,weekday,medium,cloudy,47,650,1.58
20,weekday,medium,cloudy,79,450,1.1
21,weekday,medium,rain,77,650,1.24
20,weekday,medium,cloudy,68,650,1.02
22,weekday,medium,cloudy,53,650,1.28
21,weekend,medium,cloudy,0,450,2.75
22,weekend,medium,cloudy,36,450,2.24
21,weekday,large,cloudy,38,380,2.19
22,weekend,medium,cloudy,57,120,2.34
23,weekday,medium,cloudy,73,120,1.74
19,weekday,large,cloudy,69,650,1.12
21,weekend,small,cloudy,57,650,1.33
22,weekday,large,cloudy,2,450,2.66
20,weekend,large,cloudy,81,380,1.54
21,weekday,small,cloudy,81,900,1.0
22,weekend,large,cloudy,82,380,1.6
21,weekday,large,cloudy,27,450,2.42
19,weekend,large,cloudy,58,650,1.61
23,weekday,small,cloudy,8,650,1.54
22,weekend,large,cloudy,53,380,2.6
22,weekday,large,cloudy,11,450,2.83
19,weekend,medium,cloudy,85,380,1.3
22,weekday,medium,cloudy,44,380,1.71
20,weekday,small,cloudy,39,120,1.4
20,weekday,small,cloudy,9,120,1.71
23,weekday,medium,cloudy,85,450,1.29
24,weekday,small,cloudy,42,380,1.63
23,weekday,small,cloudy,31,650,1.28
22,weekday,medium,cloudy,78,120,1.58
20,weekday,large,cloudy,13,380,2.29
21,weekday,medium,rain,85,650,1.09
21,weekend,medium,cloudy,12,900,2.01
20,weekday,medium,cloudy,84,380,1.09
23,weekday,medium,cloudy,48,380,1.86
24,weekday,medium,cloudy,31,450,2.21
22,weekday,medium,cloudy,90,380,1.1
22,weekend,medium,cloudy,1,380,3.36
22,weekday,medium,cloudy,17,380,2.28
21,weekday,small,cloudy,58,380,1.27
22,weekday,large,cloudy,87,380,1.24
22,weekday,small,clear,71,380,1.17
22,weekday,small,cloudy,13,380,1.56
19,weekday,medium,clear,16,650,1.31
21,weekday,large,cloudy,29,380,2.38
19,weekday,small,cloudy,16,380,1.21
19,weekday,small,rain,52,380,1.32
21,weekday,small,cloudy,58,120,1.38
21,weekend,small,cloudy,6,450,1.76
21,weekday,medium,cloudy,49,650,1.26
23,weekday,large,cloudy,37,120,2.75
23,weekend,medium,cloudy,15,380,3.18
21,weekday,large,cloudy,4,380,2.87
22,weekday,small,cloudy,12,120,1.95
21,weekend,small,cloudy,34,120,2.01
19,weekday,small,cloudy,79,650,1.0
19,weekday,medium,cloudy,69,120,1.32
22,weekday,large,cloudy,72,450,1.53
22,weekday,large,cloudy,62,450,1.73
19,weekend,medium,cloudy,84,380,1.22
23,weekday,small,cloudy,36,380,1.63
19,weekend,large,cloudy,81,380,1.33
23,weekday,small,cloudy,58,120,1.74
22,weekend,large,cloudy,48,380,2.65
21,weekday,small,cloudy,4,450,1.6
21,weekend,small,cloudy,54,120,1.9
22,weekday,medium,cloudy,23,380,2.02
22,weekend,large,cloudy,26,380,3.4
19,weekday,medium,clear,85,450,1.0
23,weekend,medium,cloudy,75,650,1.55
22,weekday,large,cloudy,70,380,1.7
22,weekday,medium,cloudy,38,450,2.05
21,weekday,medium,rain,11,650,2.1
21,weekday,small,cloudy,45,380,1.17
22,weekday,medium,cloudy,73,900,1.06
19,weekday,medium,cloudy,78,120,1.27
24,weekday,medium,cloudy,63,900,1.2
21,weekend,medium,cloudy,71,900,1.23
23,weekday,large,cloudy,78,380,1.44
21,weekend,small,cloudy,54,380,1.69
19,weekday,large,cloudy,59,650,1.25
22,weekday,large,cloudy,3,380,2.92
22,weekend,large,cloudy,89,380,1.41
22,weekend,large,cloudy,77,380,1.94
22,weekday,medium,cloudy,46,380,1.74
21,weekday,large,cloudy,59,380,1.58
22,weekday,large,cloudy,23,450,2.39
22,weekday,medium,cloudy,20,120,2.5
23,weekend,large,cloudy,55,650,2.0
21,weekday,medium,cloudy,25,380,2.08
22,weekend,small,cloudy,3,120,2.56
21,weekday,medium,cloudy,74,120,1.44
22,weekend,large,cloudy,54,380,2.35
23,weekday,large,cloudy,61,450,1.87
21,weekend,medium,cloudy,72,380,1.84
22,weekday,large,cloudy,67,650,1.38
21,weekend,medium,cloudy,56,380,2.11
22,weekend,medium,cloudy,25,380,2.69
23,weekday,medium,cloudy,70,650,1.27
22,weekday,small,cloudy,71,380,1.28
22,weekday,small,cloudy,79,450,1.07
21,weekend,medium,cloudy,28,450,2.54
23,weekday,medium,cloudy,53,380,1.77
21,weekday,medium,cloudy,33,380,1.9
23,weekday,medium,clear,18,900,1.49
22,weekday,small,clear,70,120,1.36
23,weekend,medium,cloudy,52,380,2.54
19,weekday,large,cloudy,24,650,1.65
21,weekday,medium,cloudy,84,380,1.13
20,weekday,large,cloudy,52,120,1.78
22,weekday,large,cloudy,54,380,1.85
23,weekday,medium,cloudy,42,380,1.86
21,weekday,small,cloudy,21,450,1.34
21,weekend,medium,cloudy,30,380,2.16
19,weekend,large,cloudy,16,450,2.7
22,weekday,medium,clear,24,450,1.93
22,weekday,medium,clear,47,650,1.32
21,weekday,medium,cloudy,41,380,1.69
23,weekday,small,clear,14,380,1.51
22,weekday,large,cloudy,24,120,3.04
22,weekday,large,cloudy,8,120,3.46
22,weekend,large,cloudy,24,120,3.5
21,weekday,small,cloudy,61,450,1.11
22,weekday,small,cloudy,39,120,1.77
23,weekend,medium,cloudy,48,450,2.52
22,weekday,medium,cloudy,52,380,1.6
20,weekend,medium,cloudy,13,380,2.64
22,weekday,medium,cloudy,61,380,1.57
22,weekday,medium,cloudy,13,450,2.17
20,weekday,small,cloudy,4,900,1.13
21,weekday,medium,cloudy,5,900,1.63
22,weekday,large,cloudy,5,650,2.76
24,weekend,small,cloudy,77,380,1.71
21,weekday,large,cloudy,14,900,1.92
20,weekday,large,cloudy,21,380,2.13
23,weekday,large,cloudy,77,650,1.25
22,weekday,large,cloudy,20,450,2.47
22,weekday,medium,rain,71,650,1.46
23,weekday,large,cloudy,8,380,3.39
22,weekday,small,cloudy,78,650,1.0
23,weekday,small,cloudy,49,380,1.46
22,weekday,medium,cloudy,70,450,1.3
22,weekend,small,cloudy,72,120,2.01
20,weekday,large,cloudy,30,650,1.72
20,weekday,medium,cloudy,4,650,1.78
23,weekend,large,cloudy,71,450,2.28
23,weekday,medium,clear,69,380,1.48
22,weekday,medium,cloudy,1,450,2.46
22,weekday,small,cloudy,27,380,1.57
21,weekday,large,cloudy,49,380,1.82
23,weekday,small,cloudy,8,380,1.79
24,weekday,medium,cloudy,80,120,1.75
21,weekday,medium,cloudy,1,380,2.11
21,weekday,small,cloudy,31,900,1.01
22,weekday,medium,cloudy,6,380,2.19
20,weekday,large,cloudy,37,450,1.99
21,weekday,large,cloudy,82,380,1.18
22,weekend,large,cloudy,32,450,2.83
22,weekday,medium,cloudy,56,380,1.64
23,weekday,small,cloudy,21,120,1.99
21,weekend,medium,cloudy,77,900,1.2
22,weekday,large,clear,37,380,1.98
19,weekday,large,cloudy,57,450,1.52
23,weekday,large,rain,49,380,2.65
23,weekday,medium,cloudy,47,380,2.07
19,weekday,small,cloudy,38,900,1.0
24,weekday,small,cloudy,40,900,1.15
19,weekend,large,cloudy,12,900,2.09
20,weekday,small,cloudy,30,380,1.3
20,weekday,medium,cloudy,71,450,1.1
23,weekday,large,cloudy,85,120,1.56
23,weekend,medium,cloudy,34,450,2.71
20,weekday,small,cloudy,23,120,1.65
22,weekend,small,cloudy,80,120,1.77
20,weekday,medium,clear,4,380,1.98
23,weekday,medium,cloudy,48,380,1.96
22,weekend,medium,cloudy,73,650,1.54
20,weekday,large,clear,6,650,2.12
22,weekday,medium,cloudy,59,380,1.63
19,weekend,medium,cloudy,47,380,1.87
21,weekday,large,cloudy,76,650,1.2
21,weekend,medium,cloudy,60,900,1.49
21,weekday,medium,cloudy,1,650,1.76
22,weekday,small,cloudy,63,120,1.29
23,weekday,small,cloudy,1,450,1.64
20,weekday,large,cloudy,40,650,1.65
23,weekday,medium,cloudy,32,380,2.19
20,weekday,large,cloudy,72,450,1.15
23,weekday,large,cloudy,34,380,2.34
21,weekday,large,cloudy,19,650,2.0
23,weekday,medium,cloudy,37,380,1.95
21,weekday,medium,cloudy,29,650,1.56
19,weekday,medium,rain,69,650,1.0
19,weekday,medium,cloudy,84,380,1.03
22,weekday,large,cloudy,2,380,2.89
23,weekday,medium,cloudy,77,450,1.46
21,weekend,medium,cloudy,86,450,1.32
20,weekend,small,cloudy,39,380,1.55
19,weekday,large,cloudy,64,900,1.0
20,weekend,medium,cloudy,74,650,1.21
21,weekend,medium,cloudy,82,650,1.24
22,weekday,small,cloudy,65,380,1.29
22,weekend,large,cloudy,7,900,2.82
22,weekend,medium,cloudy,48,120,2.62
23,weekday,large,cloudy,34,380,2.51
21,weekday,large,clear,4,450,2.35
22,weekday,medium,cloudy,48,900,1.24
22,weekend,medium,cloudy,67,380,1.9
22,weekday,medium,cloudy,89,450,1.03
22,weekday,large,clear,82,120,1.35
22,weekday,large,cloudy,72,380,1.36
24,weekday,medium,cloudy,86,380,1.38
23,weekday,medium,cloudy,43,900,1.49
21,weekday,medium,cloudy,72,120,1.58
19,weekday,medium,cloudy,36,380,1.57
23,weekend,medium,cloudy,29,380,2.95
24,weekend,large,cloudy,40,380,3.39
22,weekend,small,cloudy,35,650,1.55
20,weekend,medium,cloudy,61,900,1.34
21,weekday,medium,clear,85,450,1.0
21,weekday,large,cloudy,14,380,2.47
22,weekend,large,cloudy,16,120,3.5
23,weekday,small,cloudy,0,650,1.37
22,weekday,medium,rain,4,900,2.17
24,weekday,medium,clear,6,380,2.78
23,weekend,large,cloudy,67,380,2.38
21,weekday,medium,cloudy,2,120,2.71
23,weekend,small,cloudy,57,450,1.68
19,weekday,medium,cloudy,24,450,1.62
22,weekend,medium,cloudy,66,900,1.36
21,weekday,medium,cloudy,77,120,1.4
21,weekday,medium,cloudy,16,650,1.52
23,weekday,large,cloudy,45,380,2.06
22,weekend,medium,cloudy,0,650,2.58
21,weekday,large,cloudy,67,380,1.62
22,weekday,large,cloudy,80,650,1.12
22,weekday,small,cloudy,14,650,1.31
19,weekday,large,clear,69,380,1.16
21,weekday,medium,cloudy,19,380,2.34
19,weekday,large,cloudy,34,650,1.64
23,weekday,large,cloudy,31,450,2.5
22,weekday,medium,cloudy,67,900,1.01
21,weekend,large,cloudy,19,380,3.28
22,weekday,large,rain,37,380,2.86
23,weekday,medium,cloudy,44,900,1.46
21,weekday,small,cloudy,66,380,1.14
22,weekend,large,cloudy,63,120,2.51
22,weekday,large,cloudy,71,450,1.43
21,weekday,medium,cloudy,23,380,1.79
21,weekday,medium,cloudy,62,450,1.32
22,weekend,large,cloudy,36,450,2.95
22,weekday,small,cloudy,59,650,1.03
22,weekday,large,cloudy,29,380,2.46
20,weekday,medium,rain,41,380,1.78
21,weekday,medium,clear,3,380,2.03
20,weekday,medium,cloudy,24,450,1.68
22,weekend,medium,cloudy,73,380,1.81
22,weekend,medium,cloudy,78,900,1.3
21,weekday,large,cloudy,16,650,2.02
23,weekend,medium,cloudy,37,650,2.25
23,weekday,medium,clear,66,380,1.46
23,weekday,large,clear,79,380,1.39
19,weekday,medium,cloudy,71,650,1.0
21,weekend,medium,cloudy,81,900,1.06
23,weekday,large,cloudy,31,120,2.79
22,weekday,small,clear,60,650,1.01
22,weekday,medium,cloudy,78,650,1.03
22,weekday,large,cloudy,19,900,1.93
20,weekday,large,cloudy,33,380,2.2
23,weekend,medium,cloudy,16,380,3.12
22,weekday,medium,cloudy,3,120,2.44
23,weekday,large,clear,85,450,1.2
23,weekend,small,cloudy,63,900,1.46
22,weekday,medium,cloudy,42,120,2.18
23,weekday,medium,clear,85,900,1.0
22,weekday,small,cloudy,51,120,1.7
22,weekend,large,cloudy,25,450,3.14
22,weekday,large,cloudy,9,380,2.98
23,weekday,large,cloudy,59,450,1.74
20,weekday,large,cloudy,35,380,2.04
21,weekday,medium,cloudy,64,380,1.33
22,weekday,large,cloudy,62,900,1.38
23,weekend,small,cloudy,89,380,1.5
22,weekday,small,cloudy,37,380,1.38
21,weekday,large,cloudy,49,120,2.28
20,weekday,large,cloudy,50,450,1.7
21,weekday,large,cloudy,17,380,2.43
19,weekday,small,cloudy,66,650,1.0
22,weekend,medium,cloudy,88,450,1.29
20,weekday,large,rain,10,650,2.49
22,weekday,large,clear,40,900,1.49
21,weekday,small,cloudy,28,120,1.7
22,weekend,large,cloudy,35,120,3.5
22,weekday,medium,cloudy,21,650,1.85
